event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
NEP9008,2021-01-01,1,Protests,Peaceful protest,Protesters (Nepal),RPP: National Democratic Party; Hindu Group (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9009,2021-01-01,2,Protests,Peaceful protest,Protesters (Nepal),Labor Group (Nepal),,,Nepal,Lumbini,Dang,Lamahi,27.8729,82.5228,1,National,0,NPL
NEP9013,2021-01-06,2,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal); Teachers (Nepal),,,Nepal,Karnali,Jajarkot,Bheri,28.7096,82.1637,1,National,0,NPL
NEP9016,2021-01-08,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Karnali,Surkhet,Chhinchu,28.4307,81.7272,1,National,0,NPL
NEP9012,2021-01-06,1,Protests,Peaceful protest,Protesters (Nepal),Hindu Group (Nepal),,,Nepal,Koshi,Sunsari,Itahari,26.6637,87.274,1,National,0,NPL
NEP9015,2021-01-08,1,Riots,Violent demonstration,Rioters (Nepal),,,,Nepal,Koshi,Morang,Kanepokhari,26.6599,87.4962,1,National,0,NPL
NEP9090,2021-01-11,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal); NC: Nepali Congress,,,Nepal,Gandaki,Nawalpur,Kawasoti,27.6282,84.1056,1,National,0,NPL
NEP9164,2021-01-17,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Karnali,Dailekh,Aathbis,29.0243,81.4808,1,Local partner-National,0,NPL
NEP9165,2021-01-18,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal),,,Nepal,Koshi,Sunsari,Dharan,26.8144,87.2797,1,Local partner-National,0,NPL
NEP9178,2021-01-20,1,Protests,Peaceful protest,Protesters (Nepal),NCP: Nepal Communist Party,,,Nepal,Koshi,Morang,Biratnagar,26.4551,87.2701,1,National,0,NPL
NEP9251,2021-01-22,1,Explosions/Remote violence,Remote explosive/landmine/IED,CPN(M)-NBC: Communist Party of Nepal (Maoist)-Netra Bikram Chand,,,,Nepal,Bagmati,Kavrepalanchok,Banepa,27.6325,85.5219,2,Local partner-National,0,NPL
NEP9254,2021-01-24,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9266,2021-02-01,1,Riots,Violent demonstration,Rioters (Nepal),NCP: Nepal Communist Party,Rioters (Nepal),NCP: Nepal Communist Party,Nepal,Bagmati,Nuwakot,Bidur,27.9139,85.1428,2,Local partner-National,0,NPL
NEP9268,2021-02-04,1,Riots,Violent demonstration,Rioters (Nepal),NCP: Nepal Communist Party,,,Nepal,Bagmati,Chitwan,Bharatpur,27.6768,84.4359,2,Local partner-National,0,NPL
NEP9269,2021-02-04,1,Riots,Violent demonstration,Rioters (Nepal),NCP: Nepal Communist Party,Civilians (Nepal),Labor Group (Nepal),Nepal,Koshi,Morang,Biratnagar,26.4551,87.2701,1,Local partner-National,0,NPL
NEP9275,2021-02-04,1,Protests,Peaceful protest,Protesters (Nepal),NCP: Nepal Communist Party,,,Nepal,Bagmati,Lalitpur,Lalitpur,27.6743,85.3183,1,Local partner-National,0,NPL
NEP9276,2021-02-04,1,Protests,Peaceful protest,Protesters (Nepal),NCP: Nepal Communist Party,Protesters (Nepal),NCP: Nepal Communist Party,Nepal,Gandaki,Kaski,Pokhara,28.2669,83.9685,1,Local partner-National,0,NPL
NEP9274,2021-02-04,1,Riots,Violent demonstration,Rioters (Nepal),ANNFSU: All Nepal National Free Students' Union; Students (Nepal),,,Nepal,Bagmati,Lalitpur,Lalitpur,27.6743,85.3183,1,National,0,NPL
NEP9358,2021-02-09,1,Protests,Peaceful protest,Protesters (Nepal),NSU: Nepal Student Union; Students (Nepal),,,Nepal,Sudurpashchim,Kailali,Dhangadhi,28.7079,80.5961,1,Local partner-National,0,NPL
NEP9363,2021-02-11,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal); NCP: Nepal Communist Party,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9365,2021-02-11,1,Protests,Peaceful protest,Protesters (Nepal),Women (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9283,2021-02-04,1,Protests,Peaceful protest,Protesters (Nepal),NCP: Nepal Communist Party,,,Nepal,Lumbini,Palpa,Tansen,27.8673,83.5467,1,National,0,NPL
NEP9277,2021-01-30,1,Riots,Violent demonstration,Rioters (Nepal),,,,Nepal,Bagmati,Nuwakot,Belkotgadhi,27.8259,85.1114,2,National,0,NPL
NEP9278,2021-01-30,1,Riots,Violent demonstration,Rioters (Nepal),,,,Nepal,Bagmati,Rasuwa,Rasuwa Gadhi,28.2768,85.3795,2,National,0,NPL
NEP9279,2021-02-03,1,Protests,Peaceful protest,Protesters (Nepal),NCP: Nepal Communist Party,,,Nepal,Gandaki,Myagdi,Beni,28.3454,83.5651,1,National,0,NPL
NEP9361,2021-02-11,1,Protests,Peaceful protest,Protesters (Nepal),ANWA(R): All Nepal Women's Association (Revolutionary); Women (Nepal); NWA: Nepal Women Association,,,Nepal,Gandaki,Myagdi,Beni,28.3454,83.5651,1,National,0,NPL
NEP9281,2021-02-04,1,Riots,Violent demonstration,Rioters (Nepal),NCP: Nepal Communist Party,Rioters (Nepal),NCP: Nepal Communist Party,Nepal,Bagmati,Sindhuli,Kamalamai,27.15,85.9,1,National,0,NPL
NEP9357,2021-02-08,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal); Labor Group (Nepal),,,Nepal,Bagmati,Nuwakot,Bidur,27.9139,85.1428,1,National,0,NPL
NEP9280,2021-02-03,1,Protests,Peaceful protest,Protesters (Nepal),NCP: Nepal Communist Party,,,Nepal,Gandaki,Myagdi,Darbang,28.414,83.3876,1,National,0,NPL
NEP9369,2021-02-12,2,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal),,,Nepal,Karnali,Jajarkot,Khalanga,28.7177,82.2019,1,National,0,NPL
NEP9305,2021-02-06,2,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Sudurpashchim,Baitadi,Dogadakedar,29.5913,80.529,1,National,0,NPL
NEP9356,2021-02-07,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal); Teachers (Nepal),,,Nepal,Sudurpashchim,Baitadi,Dasharathchand,29.5547,80.4267,1,National,0,NPL
NEP9368,2021-02-12,1,Protests,Peaceful protest,Protesters (Nepal),Women (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9362,2021-02-11,1,Protests,Peaceful protest,Protesters (Nepal),NYFN: National Youth Federation Nepal,,,Nepal,Lumbini,Rupandehi,Butwal,27.7006,83.4484,1,National,0,NPL
NEP9366,2021-02-12,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal); Women (Nepal),,,Nepal,Lumbini,Dang,Ghorahi,28.046,82.4879,1,National,0,NPL
NEP9367,2021-02-12,1,Protests,Peaceful protest,Protesters (Nepal),NC: Nepali Congress,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9372,2021-02-13,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9442,2021-02-16,1,Riots,Mob violence,Rioters (Nepal),NCP: Nepal Communist Party; Students (Nepal); Hindu Group (Nepal),Rioters (Nepal),NCP: Nepal Communist Party; Students (Nepal); Hindu Group (Nepal),Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9441,2021-02-16,2,Protests,Peaceful protest,Protesters (Nepal),NC: Nepali Congress,,,Nepal,Sudurpashchim,Baitadi,Dilasaini,29.6507,80.6015,2,National,0,NPL
NEP9443,2021-02-18,1,Protests,Peaceful protest,Protesters (Nepal),ANNFSU: All Nepal National Free Students' Union; Students (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9456,2021-02-21,1,Protests,Peaceful protest,Protesters (Nepal),ANWA: All Nepal Women's Association; Women (Nepal),,,Nepal,Karnali,Jajarkot,Khalanga,28.7177,82.2019,1,National,0,NPL
NEP9458,2021-02-21,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Koshi,Morang,Urlabari,26.6699,87.6348,1,National,0,NPL
NEP9460,2021-02-22,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Koshi,Morang,Urlabari,26.6699,87.6348,1,National,0,NPL
NEP9454,2021-02-20,1,Protests,Peaceful protest,Protesters (Nepal),NSU: Nepal Student Union; Students (Nepal),,,Nepal,Bagmati,Sindhupalchok,Tripurasundari,27.7521,85.952,2,National,0,NPL
NEP9469,2021-03-05,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Bagmati,Lalitpur,Bhaisepati,27.6505,85.3063,1,National-International,0,NPL
NEP9467,2021-03-01,2,Riots,Violent demonstration,Rioters (Nepal),,,,Nepal,Bagmati,Dhading,Tripurasundari,28.0198,84.8714,1,National,0,NPL
NEP9465,2021-02-28,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Koshi,Morang,Kerabari,26.7663,87.4125,1,National,0,NPL
NEP9463,2021-02-27,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Koshi,Morang,Kerabari,26.7663,87.4125,1,National,0,NPL
NEP9466,2021-03-01,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9462,2021-02-24,1,Riots,Violent demonstration,Rioters (Nepal),,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9468,2021-03-04,1,Riots,Violent demonstration,Rioters (Nepal),,,,Nepal,Lumbini,Rupandehi,Butwal,27.7006,83.4484,2,National,0,NPL
NEP9475,2021-03-10,1,Protests,Peaceful protest,Protesters (Nepal),Dalit Caste Group (Nepal),,,Nepal,Karnali,Surkhet,Birendranagar,28.6019,81.6339,1,National,0,NPL
NEP9474,2021-03-09,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Gandaki,Kaski,Pokhara,28.2669,83.9685,1,National,0,NPL
NEP9473,2021-03-08,1,Protests,Peaceful protest,Protesters (Nepal),Newar Ethnic Group (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9471,2021-03-07,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9479,2021-03-14,2,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal); Labor Group (Nepal),,,Nepal,Koshi,Sunsari,Dharan,26.8144,87.2797,1,National,0,NPL
NEP9481,2021-03-18,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Koshi,Sunsari,Itahari,26.6637,87.274,1,National,0,NPL
NEP9476,2021-03-12,1,Protests,Peaceful protest,Protesters (Nepal),NEFIN: Nepal Federation of Indigenous Nationalities; Newar Ethnic Group (Nepal),,,Nepal,Bagmati,Lalitpur,Lalitpur,27.6743,85.3183,1,National,0,NPL
NEP9477,2021-03-13,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Koshi,Jhapa,Kamal,26.6076,87.7478,1,National,0,NPL
NEP9478,2021-03-14,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Koshi,Morang,Biratnagar,26.4551,87.2701,1,National,0,NPL
NEP9491,2021-03-20,1,Protests,Peaceful protest,Protesters (Nepal),Hindu Group (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9492,2021-03-20,2,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9495,2021-03-21,2,Protests,Peaceful protest,Protesters (Nepal),HURPES: Human Rights and Peace Society,,,Nepal,Gandaki,Kaski,Pokhara,28.2669,83.9685,1,Local partner-National,0,NPL
NEP9500,2021-03-25,2,Protests,Peaceful protest,Protesters (Nepal),Journalists (Nepal),,,Nepal,Sudurpashchim,Kailali,Dhangadhi,28.7079,80.5961,2,Local partner-National,0,NPL
NEP9484,2021-03-14,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal),,,Nepal,Koshi,Sunsari,Itahari,26.6637,87.274,1,National,0,NPL
NEP9485,2021-03-15,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal),,,Nepal,Koshi,Sunsari,Itahari,26.6637,87.274,1,National,0,NPL
NEP9486,2021-03-16,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal),,,Nepal,Koshi,Sunsari,Itahari,26.6637,87.274,1,National,0,NPL
NEP9489,2021-03-18,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal),,,Nepal,Koshi,Sunsari,Itahari,26.6637,87.274,1,National,0,NPL
NEP9483,2021-03-13,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal),,,Nepal,Koshi,Sunsari,Itahari,26.6637,87.274,1,National,0,NPL
NEP9494,2021-03-21,1,Riots,Violent demonstration,Rioters (Nepal),,,,Nepal,Koshi,Morang,Katahari,26.462,87.3153,1,National,0,NPL
NEP9487,2021-03-17,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal),,,Nepal,Koshi,Sunsari,Itahari,26.6637,87.274,1,National,0,NPL
NEP9493,2021-03-20,2,Protests,Peaceful protest,Protesters (Nepal),Adivasi Ethnic Group (Nepal); Buddhist Group (Nepal),,,Nepal,Koshi,Ilam,Suryodaya,26.8958,88.068,1,National,0,NPL
NEP9490,2021-03-20,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Karnali,Surkhet,Birendranagar,28.6019,81.6339,1,National,0,NPL
NEP9502,2021-03-30,1,Protests,Peaceful protest,Protesters (Nepal),HURPES: Human Rights and Peace Society,,,Nepal,Bagmati,Lalitpur,Lalitpur,27.6743,85.3183,1,Local partner-National,0,NPL
NEP9503,2021-03-31,1,Protests,Peaceful protest,Protesters (Nepal),ANNISU-R: All Nepal National Independent Students' Union-Revolutionary; Students (Nepal),,,Nepal,Bagmati,Lalitpur,Lalitpur,27.6743,85.3183,1,Local partner-National,0,NPL
NEP9504,2021-04-01,2,Protests,Peaceful protest,Protesters (Myanmar),Students (Myanmar),,,Nepal,Bagmati,Lalitpur,Lalitpur,27.6743,85.3183,1,National,0,NPL
NEP9505,2021-04-08,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9509,2021-04-14,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9511,2021-04-18,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Bagmati,Makwanpur,Makawanpur Gadhi,27.4106,85.1428,1,National,0,NPL
NEP9516,2021-04-27,1,Riots,Violent demonstration,Rioters (Nepal),ANNFSU: All Nepal National Free Students' Union; Students (Nepal),Rioters (Nepal),Students (Nepal),Nepal,Gandaki,Kaski,Pokhara,28.2669,83.9685,1,National,0,NPL
NEP9519,2021-05-07,1,Protests,Peaceful protest,Protesters (Nepal),Labor Group (Nepal),,,Nepal,Koshi,Sunsari,Dharan,26.8144,87.2797,1,National,0,NPL
NEP9520,2021-05-08,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal); Labor Group (Nepal),,,Nepal,Koshi,Sunsari,Dharan,26.8144,87.2797,1,Local partner-National,0,NPL
NEP9537,2021-05-27,1,Riots,Mob violence,Rioters (Nepal),,Civilians (Nepal),Health Workers (Nepal),Nepal,Lumbini,Banke,Nepalgunj,28.0577,81.6244,1,National,0,NPL
NEP9538,2021-05-28,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal),,,Nepal,Lumbini,Banke,Nepalgunj,28.0577,81.6244,1,National,0,NPL
NEP9536,2021-05-27,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal),,,Nepal,Lumbini,Banke,Nepalgunj,28.0577,81.6244,1,National,0,NPL
NEP9539,2021-05-28,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Koshi,Morang,Biratnagar,26.4551,87.2701,1,National,0,NPL
NEP9545,2021-06-03,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal),,,Nepal,Lumbini,Banke,Nepalgunj,28.0577,81.6244,1,National,0,NPL
NEP9547,2021-05-31,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal),,,Nepal,Lumbini,Banke,Nepalgunj,28.0577,81.6244,1,National,0,NPL
NEP9548,2021-06-01,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal),,,Nepal,Lumbini,Banke,Nepalgunj,28.0577,81.6244,1,National,0,NPL
NEP9549,2021-06-02,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal),,,Nepal,Lumbini,Banke,Nepalgunj,28.0577,81.6244,1,National,0,NPL
NEP9550,2021-06-04,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal),,,Nepal,Lumbini,Banke,Nepalgunj,28.0577,81.6244,1,National,0,NPL
NEP9554,2021-06-08,2,Riots,Violent demonstration,Rioters (Nepal),,Civilians (Nepal),Health Workers (Nepal),Nepal,Bagmati,Bhaktapur,Suryabinayak,27.6575,85.4239,1,Local partner-National,0,NPL
NEP9556,2021-06-09,1,Riots,Mob violence,Rioters (Nepal),Labor Group (Nepal),Rioters (Nepal),,Nepal,Koshi,Sunsari,Dharan,26.8144,87.2797,1,Local partner-National,0,NPL
NEP9560,2021-06-15,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal); Teachers (Nepal),,,Nepal,Koshi,Sunsari,Dharan,26.8144,87.2797,1,Local partner-National,0,NPL
NEP9562,2021-06-17,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal); Labor Group (Nepal),,,Nepal,Koshi,Sunsari,Dharan,26.8144,87.2797,1,National,0,NPL
NEP9561,2021-06-16,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal); Labor Group (Nepal),,,Nepal,Koshi,Sunsari,Dharan,26.8144,87.2797,1,National,0,NPL
NEP9563,2021-06-20,2,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Sudurpashchim,Kailali,Dhangadhi,28.7079,80.5961,1,Local partner-National,0,NPL
NEP9564,2021-06-21,1,Riots,Violent demonstration,Rioters (Nepal),,,,Nepal,Bagmati,Chitwan,Ratnanagar,27.6193,84.5201,1,Local partner-National,0,NPL
NEP9565,2021-06-21,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Bagmati,Sindhupalchok,Melamchi,27.8292,85.5757,1,Local partner-National,0,NPL
NEP9568,2021-06-24,2,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Karnali,Surkhet,Birendranagar,28.6019,81.6339,1,Local partner-National,0,NPL
NEP9566,2021-06-22,2,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Bagmati,Sindhupalchok,Chautara,27.7759,85.7133,2,International,0,NPL
NEP9572,2021-06-26,1,Riots,Mob violence,Rioters (Nepal),,Civilians (Nepal),Health Workers (Nepal); Labor Group (Nepal),Nepal,Bagmati,Dolakha,Tamakoshi,27.5426,86.1239,1,Local partner-National,0,NPL
NEP9578,2021-06-30,1,Protests,Peaceful protest,Protesters (Nepal),Labor Group (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9576,2021-06-29,2,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Lumbini,Bardiya,Gulariya,28.2333,81.3333,1,National,0,NPL
NEP9575,2021-06-27,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal); Labor Group (Nepal); Students (Nepal),,,Nepal,Koshi,Sunsari,Dharan,26.8144,87.2797,1,National,0,NPL
NEP9586,2021-07-06,2,Protests,Peaceful protest,Protesters (Nepal),Labor Group (Nepal),,,Nepal,Gandaki,Nawalpur,Kawasoti,27.6282,84.1056,1,Local partner-National,0,NPL
NEP9591,2021-07-08,1,Protests,Peaceful protest,Protesters (Nepal),ANNISU-R: All Nepal National Independent Students' Union-Revolutionary; Students (Nepal); ANNFSU: All Nepal National Free Students' Union; NSU: Nepal Student Union; SBU: Socialist Student Union; ANNISU(S): All Nepal National Independent Students Union (Sixth),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9639,2021-07-08,1,Protests,Peaceful protest,Protesters (Nepal),Labor Group (Nepal),,,Nepal,Koshi,Morang,Budhiganga,26.5621,87.304,1,National,0,NPL
NEP9584,2021-07-05,2,Protests,Peaceful protest,Protesters (Nepal),Teachers (Nepal); Labor Group (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9644,2021-07-08,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal); Students (Nepal),,,Nepal,Koshi,Sunsari,Dharan,26.8144,87.2797,1,National,0,NPL
NEP9665,2021-07-09,2,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal); ANNFSU: All Nepal National Free Students' Union,,,Nepal,Lumbini,Rupandehi,Butwal,27.7006,83.4484,1,National,0,NPL
NEP9671,2021-07-18,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal); Labor Group (Nepal),,,Nepal,Lumbini,Banke,Nepalgunj,28.0577,81.6244,1,National,0,NPL
NEP9674,2021-07-20,1,Protests,Peaceful protest,Protesters (Nepal),YAN: Youth Association Nepal,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9677,2021-07-22,1,Riots,Violent demonstration,Rioters (Nepal),Labor Group (Nepal),Civilians (Nepal),Labor Group (Nepal),Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9680,2021-07-22,2,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Koshi,Sunsari,Ramdhuni,26.6895,87.1743,1,National,0,NPL
NEP9678,2021-07-22,1,Protests,Peaceful protest,Protesters (Nepal),NC: Nepali Congress,,,Nepal,Bagmati,Lalitpur,Lalitpur,27.6743,85.3183,1,National,0,NPL
NEP9675,2021-07-20,1,Protests,Peaceful protest,Protesters (Nepal),NC: Nepali Congress,,,Nepal,Bagmati,Lalitpur,Lalitpur,27.6743,85.3183,1,National,0,NPL
NEP9669,2021-07-10,1,Protests,Peaceful protest,Protesters (Nepal),NC: Nepali Congress,,,Nepal,Bagmati,Lalitpur,Lalitpur,27.6743,85.3183,1,National,0,NPL
NEP9681,2021-07-20,2,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Gandaki,Myagdi,Beni,28.3454,83.5651,1,Local partner-National,0,NPL
NEP9689,2021-07-29,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Koshi,Morang,Biratnagar,26.4551,87.2701,1,Local partner-National,0,NPL
NEP9688,2021-07-29,1,Protests,Peaceful protest,Protesters (Nepal),NTF: Nepal Teachers' Federation; Teachers (Nepal),,,Nepal,Lumbini,Palpa,Tansen,27.8673,83.5467,1,National,0,NPL
NEP9686,2021-07-29,2,Protests,Peaceful protest,Protesters (Nepal),Farmers (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9687,2021-07-29,1,Protests,Peaceful protest,Protesters (Nepal),Journalists (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9036,2021-01-09,1,Riots,Violent demonstration,Rioters (Nepal),NTD: Nepal Tarun Dal,Rioters (Nepal),NC: Nepali Congress; NTD: Nepal Tarun Dal,Nepal,Koshi,Sunsari,Itahari,26.6637,87.274,1,National,0,NPL
NEP9664,2021-07-09,1,Protests,Peaceful protest,Protesters (Nepal),ANTUF: All Nepal Trade Union Federation; Labor Group (Nepal); NTF: Nepal Teachers' Federation; Teachers (Nepal); NNTA: Nepal National Teachers Association,,,Nepal,Lumbini,Arghakhanchi,Sandhikharka,27.9736,83.1334,1,Local partner-National,0,NPL
NEP9695,2021-08-29,1,Protests,Peaceful protest,Protesters (Nepal),Labor Group (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9696,2021-08-30,1,Protests,Peaceful protest,Protesters (Nepal),NC: Nepali Congress,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9697,2021-09-03,1,Protests,Peaceful protest,Protesters (Nepal),ANNFSU: All Nepal National Free Students' Union; Students (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9691,2021-08-23,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal); Labor Group (Nepal),,,Nepal,Koshi,Sunsari,Dharan,26.8144,87.2797,1,National,0,NPL
NEP9692,2021-08-24,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal),,,Nepal,Koshi,Morang,Sundarharicha,26.6589,87.3454,1,National,0,NPL
NEP9698,2021-09-03,2,Protests,Peaceful protest,Protesters (Nepal),Labor Group (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9701,2021-07-31,1,Riots,Mob violence,Rioters (Nepal),,Civilians (Nepal),Health Workers (Nepal),Nepal,Bagmati,Kathmandu,Tokha,27.75,85.3333,1,Local partner-National,0,NPL
NEP9702,2021-07-31,1,Protests,Peaceful protest,Protesters (Nepal),ANNISU-R: All Nepal National Independent Students' Union-Revolutionary; NSU: Nepal Student Union; Students (Nepal),,,Nepal,Koshi,Jhapa,Birtamod,26.644,87.993,1,Local partner-National,0,NPL
NEP9706,2021-08-02,1,Protests,Peaceful protest,Protesters (Nepal),YAN: Youth Association Nepal; ANNISU-R: All Nepal National Independent Students' Union-Revolutionary; Students (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9716,2021-08-08,1,Protests,Peaceful protest,Protesters (Nepal),CPN(UML): Communist Party of Nepal (Unified Marxist-Leninist),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9720,2021-08-09,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal),,,Nepal,Bagmati,Kathmandu,Kirtipur,27.6787,85.2775,1,Local partner-National,0,NPL
NEP9724,2021-08-15,2,Protests,Peaceful protest,Protesters (Nepal),Women (Nepal),,,Nepal,Koshi,Udayapur,Triyuga,26.7919,86.699,1,National,0,NPL
NEP9726,2021-08-17,1,Protests,Peaceful protest,Protesters (Nepal),TTNF: Tharuhat Tharuwan National Front; Tharu Ethnic Group (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9728,2021-08-19,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Koshi,Morang,Biratnagar,26.4551,87.2701,1,National,0,NPL
