event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
GTM6422,2023-01-18,1,Riots,Violent demonstration,Rioters (Guatemala),Maya Indigenous Group (Guatemala),,,Guatemala,Chiquimula,Chiquimula,Vado Hondo,14.7307,-89.5051,1,National,0,GTM
GTM6488,2023-02-20,1,Protests,Peaceful protest,Protesters (Guatemala),,,,Guatemala,Peten,Melchor de Mencos,Melchor de Mencos,17.0661,-89.1523,1,National,0,GTM
GTM6366,2023-01-05,1,Protests,Peaceful protest,Protesters (Guatemala),Taxi/Bus Drivers (Guatemala),,,Guatemala,Alta Verapaz,Chisec,Chisec,15.8167,-90.2833,1,National,0,GTM
GTM6640,2023-03-22,1,Protests,Peaceful protest,Protesters (Guatemala),Maya Indigenous Group (Guatemala),,,Guatemala,Quiche,Ixcan,Playa Grande Ixcan,15.9856,-90.7776,1,National,0,GTM
GTM6696,2023-04-21,1,Protests,Peaceful protest,Protesters (Guatemala),,,,Guatemala,Alta Verapaz,Chisec,Playitas,16.0123,-90.4499,1,National,0,GTM
GTM6697,2023-04-14,1,Riots,Mob violence,Rioters (Guatemala),Vigilante Group (Guatemala),Civilians (Guatemala),,Guatemala,Chimaltenango,Tecpan Guatemala,Tecpan Guatemala,14.7669,-90.9942,2,National,0,GTM
GTM6732,2023-04-23,1,Violence against civilians,Attack,Unidentified Armed Group (Guatemala),,Civilians (Guatemala),Journalists (Guatemala); Maya Indigenous Group (Guatemala),Guatemala,Solola,Santiago Atitlan,Santiago Atitlan,14.6382,-91.229,1,National,0,GTM
GTM6743,2023-05-03,1,Riots,Mob violence,Rioters (Guatemala),Vigilante Group (Guatemala),Civilians (Guatemala),,Guatemala,Alta Verapaz,Coban,Chiquibul,15.9308,-90.5119,1,National,0,GTM
GTM6776,2023-05-19,1,Protests,Peaceful protest,Protesters (Guatemala),Women (Guatemala); Health Workers (Guatemala),,,Guatemala,Quiche,Ixcan,Playa Grande Ixcan,15.9856,-90.7776,1,National,0,GTM
GTM6785,2023-06-02,1,Riots,Violent demonstration,Rioters (Guatemala),Maya Indigenous Group (Guatemala),Civilians (Guatemala),,Guatemala,Quiche,Ixcan,Israel,15.852,-90.8305,1,National,0,GTM
GTM6796,2023-06-07,1,Protests,Peaceful protest,Protesters (Guatemala),Taxi/Bus Drivers (Guatemala),,,Guatemala,Quiche,Ixcan,Playa Grande Ixcan,15.9856,-90.7776,3,National,0,GTM
GTM6797,2023-06-05,1,Protests,Peaceful protest,Protesters (Guatemala),,,,Guatemala,Escuintla,Siquinala,Siquinala,14.3066,-90.9681,1,National,0,GTM
GTM6801,2023-04-26,1,Violence against civilians,Attack,Unidentified Armed Group (Guatemala),,Civilians (Guatemala),PA: Blue Party; Women (Guatemala),Guatemala,Jutiapa,Moyuta,Moyuta,14.0386,-90.0808,2,Local partner-National,0,GTM
GTM6804,2023-05-07,1,Violence against civilians,Attack,Valor Party,,Civilians (Guatemala),ViVa: Vision con Valores,Guatemala,Alta Verapaz,Chisec,Chisec,15.8167,-90.2833,1,Local partner-National,0,GTM
GTM6811,2023-06-12,1,Violence against civilians,Attack,Unidentified Armed Group (Guatemala),,Civilians (Guatemala),,Guatemala,Alta Verapaz,Tactic,San Julian,15.3172,-90.3259,1,National,0,GTM
GTM6444,2023-02-16,1,Protests,Peaceful protest,Protesters (Guatemala),CODECA: Farmers Development Committee; Farmers (Guatemala),,,Guatemala,Alta Verapaz,Tactic,San Julian,15.3172,-90.3259,1,National,0,GTM
GTM6445,2023-02-16,1,Protests,Peaceful protest,Protesters (Guatemala),CODECA: Farmers Development Committee; Farmers (Guatemala),,,Guatemala,Baja Verapaz,Salama,Salama,15.1028,-90.3181,1,National,0,GTM
GTM6472,2023-02-21,1,Protests,Peaceful protest,Protesters (Guatemala),CODECA: Farmers Development Committee; Farmers (Guatemala),,,Guatemala,Alta Verapaz,Tactic,San Julian,15.3172,-90.3259,1,National,0,GTM
GTM6653,2023-03-27,1,Protests,Peaceful protest,Protesters (Guatemala),Indigenous Group (Guatemala),,,Guatemala,Chimaltenango,Patzun,Chiquel,14.6808,-91.0419,1,National,0,GTM
GTM6654,2023-03-27,1,Protests,Peaceful protest,Protesters (Guatemala),Indigenous Group (Guatemala),,,Guatemala,Huehuetenango,Chiantla,Quilien Novillo,15.4972,-91.3472,1,National,0,GTM
GTM6665,2023-03-28,1,Protests,Peaceful protest,Protesters (Guatemala),Indigenous Group (Guatemala),,,Guatemala,Chimaltenango,Patzun,Chiquel,14.6808,-91.0419,1,National,0,GTM
GTM6668,2023-03-28,1,Protests,Peaceful protest,Protesters (Guatemala),Indigenous Group (Guatemala),,,Guatemala,Huehuetenango,Chiantla,Quilien Novillo,15.4972,-91.3472,1,National,0,GTM
GTM6827,2023-06-17,1,Violence against civilians,Attack,Unidentified Armed Group (Guatemala),,Civilians (Guatemala),UNE: National Unity of Hope,Guatemala,Chiquimula,Concepcion Las Minas,Concepcion Las Minas,14.5167,-89.45,1,National,1,GTM
GTM6834,2023-06-20,1,Protests,Peaceful protest,Protesters (Guatemala),,,,Guatemala,Alta Verapaz,Chisec,Chisec,15.8167,-90.2833,2,National,0,GTM
GTM6840,2023-06-21,1,Violence against civilians,Attack,Unidentified Gang (Guatemala),,Civilians (Guatemala),,Guatemala,Zacapa,Cabanas,Cabanas,14.9333,-89.8,1,National,1,GTM
GTM6838,2023-06-23,2,Violence against civilians,Attack,Unidentified Armed Group (Guatemala),,Civilians (Guatemala),,Guatemala,Peten,Melchor de Mencos,Melchor de Mencos,17.0661,-89.1523,1,Regional,1,GTM
GTM6887,2023-07-14,1,Protests,Peaceful protest,Protesters (Guatemala),Seed Movement,,,Guatemala,Quiche,Ixcan,Playa Grande Ixcan,15.9856,-90.7776,1,National,0,GTM
GTM6910,2023-07-25,1,Battles,Armed clash,Unidentified Gang (Guatemala),,Unidentified Gang (Guatemala),,Guatemala,Izabal,Livingston,Livingston,15.8278,-88.7535,2,National,0,GTM
GTM6946,2023-08-11,1,Violence against civilians,Attack,Unidentified Armed Group (Guatemala),,Civilians (Guatemala),Journalists (Guatemala),Guatemala,Retalhuleu,Retalhuleu,Caballo Blanco,14.4952,-91.8498,1,National,2,GTM
GTM6992,2023-02-20,1,Violence against civilians,Attack,Unidentified Armed Group (Guatemala),,Civilians (Guatemala),,Guatemala,Alta Verapaz,Fray Bartolome de las Casas,Fray Bartolome de las Casas,15.8056,-89.8609,1,Local partner-National,1,GTM
GTM7002,2023-01-17,1,Violence against civilians,Attack,Unidentified Armed Group (Guatemala),,Civilians (Guatemala),,Guatemala,Zacapa,Teculutan,Teculutan,14.9933,-89.7142,1,Local partner-National,0,GTM
GTM7016,2023-05-10,1,Violence against civilians,Attack,Unidentified Armed Group (Guatemala),,Civilians (Guatemala),,Guatemala,San Marcos,Concepcion Tutuapa,Las Tablas,15.2858,-91.8861,1,Local partner-National,0,GTM
GTM7030,2023-05-14,1,Violence against civilians,Attack,Unidentified Armed Group (Guatemala),,Civilians (Guatemala),Women (Guatemala),Guatemala,Escuintla,La Democracia,El Pilar,14.0912,-90.9311,1,Local partner-National,3,GTM
GTM7044,2023-03-01,1,Battles,Armed clash,Unidentified Armed Group (Guatemala),,Unidentified Armed Group (Guatemala),,Guatemala,Santa Rosa,Casillas,Ayarza,14.4136,-90.0675,1,Local partner-National,1,GTM
GTM7045,2023-02-25,1,Battles,Armed clash,Unidentified Armed Group (Guatemala),,Unidentified Armed Group (Guatemala),,Guatemala,Jutiapa,Jutiapa,Cieneguilla,14.4096,-90.0416,1,Local partner-National,2,GTM
GTM7051,2023-03-03,1,Battles,Armed clash,Unidentified Gang (Guatemala),,B-18: Barrio-18,,Guatemala,Suchitepequez,Pueblo Nuevo,Pueblo Nuevo,14.6471,-91.5395,1,Local partner-National,2,GTM
GTM7063,2023-03-06,1,Violence against civilians,Attack,Unidentified Communal Militia (Guatemala),,Civilians (Guatemala),Farmers (Guatemala),Guatemala,Peten,San Luis,El Zapote,16.0694,-89.7169,1,Local partner-National,0,GTM
GTM7074,2023-03-26,1,Violence against civilians,Attack,Unidentified Communal Militia (Guatemala),,Civilians (Guatemala),Farmers (Guatemala),Guatemala,Chiquimula,San Jose La Arada,El Rodeo,14.6838,-89.5712,1,Local partner-National,0,GTM
GTM7087,2023-01-15,1,Violence against civilians,Attack,Unidentified Communal Militia (Guatemala),,Civilians (Guatemala),Women (Guatemala),Guatemala,Chiquimula,Esquipulas,Esquipulas,14.5667,-89.35,1,Local partner-National,1,GTM
GTM7091,2023-05-12,1,Violence against civilians,Attack,Unidentified Communal Militia (Guatemala),,Civilians (Guatemala),Farmers (Guatemala),Guatemala,Baja Verapaz,Rabinal,Vegas Santo Domingo,15.1195,-90.5211,1,Local partner-National,1,GTM
GTM7095,2023-03-05,1,Violence against civilians,Attack,Unidentified Gang (Guatemala),,Civilians (Guatemala),Taxi/Bus Drivers (Guatemala),Guatemala,Escuintla,La Gomera,La Gomera,14.0834,-91.056,1,Local partner-National,0,GTM
GTM7113,2023-02-27,1,Violence against civilians,Attack,Unidentified Gang (Guatemala),,Civilians (Guatemala),Taxi/Bus Drivers (Guatemala),Guatemala,Escuintla,La Gomera,La Gomera,14.0834,-91.056,1,Local partner-National,1,GTM
GTM7118,2023-03-20,1,Violence against civilians,Attack,Unidentified Gang (Guatemala),,Civilians (Guatemala),,Guatemala,Escuintla,La Gomera,La Gomera,14.0834,-91.056,1,Local partner-National,2,GTM
GTM7151,2023-01-08,1,Violence against civilians,Attack,Unidentified Gang (Guatemala),,Civilians (Guatemala),,Guatemala,Quetzaltenango,Genova,Rosario,14.55,-91.8833,1,Local partner-National,1,GTM
GTM7157,2023-05-21,1,Violence against civilians,Attack,Unidentified Gang (Guatemala),,Civilians (Guatemala),Taxi/Bus Drivers (Guatemala),Guatemala,Chiquimula,Quezaltepeque,Quezaltepeque,14.6353,-89.4434,1,Local partner-National,1,GTM
GTM7204,2023-09-04,1,Protests,Peaceful protest,Protesters (Guatemala),Maya Indigenous Group (Guatemala); Xinca Indigenous Group (Guatemala),,,Guatemala,Quiche,Ixcan,Playa Grande Ixcan,15.9856,-90.7776,1,National,0,GTM
GTM7205,2023-09-04,1,Protests,Peaceful protest,Protesters (Guatemala),Maya Indigenous Group (Guatemala); Xinca Indigenous Group (Guatemala),,,Guatemala,Quiche,Nebaj,Nebaj,15.4061,-91.1468,1,National,0,GTM
GTM6818,2023-06-12,1,Riots,Mob violence,Rioters (Guatemala),Vigilante Group (Guatemala),Civilians (Guatemala),,Guatemala,Santa Rosa,Barberena,El Cerinal,14.3326,-90.4007,1,National,0,GTM
GTM7217,2023-09-09,1,Protests,Peaceful protest,Protesters (Guatemala),Seed Movement; Teachers (Guatemala),,,Guatemala,Alta Verapaz,Fray Bartolome de las Casas,Fray Bartolome de las Casas,15.8056,-89.8609,1,National,0,GTM
GTM7219,2023-09-09,2,Violence against civilians,Attack,Unidentified Armed Group (Guatemala),,Civilians (El Salvador),,Guatemala,Peten,Melchor de Mencos,Melchor de Mencos,17.0661,-89.1523,1,Regional,1,GTM
GTM7221,2023-09-13,1,Protests,Peaceful protest,Protesters (Guatemala),,,,Guatemala,Quiche,Ixcan,Playa Grande Ixcan,15.9856,-90.7776,1,National,0,GTM
GTM7225,2023-09-15,1,Violence against civilians,Attack,Unidentified Armed Group (Guatemala),,Civilians (Guatemala),Valor Party,Guatemala,El Progreso,Guastatoya,Guastatoya,14.8547,-90.0687,1,National-Regional,1,GTM
GTM7252,2023-09-19,1,Protests,Peaceful protest,Protesters (Guatemala),Seed Movement; CODECA: Farmers Development Committee; Farmers (Guatemala),,,Guatemala,Alta Verapaz,Tactic,San Julian,15.3172,-90.3259,1,National,0,GTM
GTM7266,2023-09-19,1,Protests,Peaceful protest,Protesters (Guatemala),Seed Movement; CODECA: Farmers Development Committee; Farmers (Guatemala),,,Guatemala,Quiche,Ixcan,Playa Grande Ixcan,15.9856,-90.7776,1,National,0,GTM
GTM7274,2023-09-15,1,Protests,Peaceful protest,Protesters (Guatemala),Seed Movement; Indigenous Group (Guatemala); Maya Indigenous Group (Guatemala),,,Guatemala,Chimaltenango,Patzun,Patzun,14.6813,-91.0131,1,National,0,GTM
GTM7277,2023-09-18,1,Protests,Peaceful protest,Protesters (Guatemala),Seed Movement; Maya Indigenous Group (Guatemala),,,Guatemala,Solola,Santiago Atitlan,Santiago Atitlan,14.6382,-91.229,1,National,0,GTM
GTM7279,2023-09-17,1,Protests,Peaceful protest,Protesters (Guatemala),,,,Guatemala,Alta Verapaz,Santa Maria Cahabon,Cahabon,15.607,-89.8116,1,National,0,GTM
GTM7292,2023-10-02,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Alta Verapaz,Coban,Cubilguitz,15.6675,-90.4291,1,National,0,GTM
GTM7294,2023-10-02,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Chiquimula,Olopa,Olopa,14.6912,-89.3501,2,National,0,GTM
GTM7296,2023-10-02,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Quiche,Chichicastenango,Chupol,14.8579,-91.0563,1,National,0,GTM
GTM7308,2023-10-03,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Alta Verapaz,Coban,Cubilguitz,15.6675,-90.4291,1,National,0,GTM
GTM7313,2023-10-03,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Chiquimula,Quezaltepeque,Quezaltepeque,14.6353,-89.4434,1,National,0,GTM
GTM7317,2023-10-03,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Jalapa,San Carlos Alzatate,San Carlos Alzatate,14.4974,-90.0581,1,National,0,GTM
GTM7324,2023-10-03,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Quiche,Chichicastenango,Chupol,14.8579,-91.0563,1,National,0,GTM
GTM7330,2023-10-03,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Solola,San Andres Semetabaj,Godinez,14.704,-91.0985,1,National,0,GTM
GTM7342,2023-10-05,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Alta Verapaz,Coban,Cubilguitz,15.6675,-90.4291,1,National,0,GTM
GTM7343,2023-10-05,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Alta Verapaz,Fray Bartolome de las Casas,Fray Bartolome de las Casas,15.8056,-89.8609,1,National,0,GTM
GTM7345,2023-10-05,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Chiquimula,Quezaltepeque,Quezaltepeque,14.6353,-89.4434,1,National,0,GTM
GTM7348,2023-10-05,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Izabal,El Estor,El Estor,15.5333,-89.35,1,National,0,GTM
GTM7349,2023-10-05,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Peten,La Libertad,El Ceibo,17.2587,-90.9829,1,National,0,GTM
GTM7359,2023-10-05,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Quetzaltenango,Zunil,Zunil,14.7838,-91.4854,1,National,0,GTM
GTM7360,2023-10-05,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Quiche,Chichicastenango,Chupol,14.8579,-91.0563,1,National,0,GTM
GTM7389,2023-10-04,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala); Xinca Indigenous Group (Guatemala),,,Guatemala,Alta Verapaz,Coban,Cubilguitz,15.6675,-90.4291,1,National,0,GTM
GTM7391,2023-10-04,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala); Xinca Indigenous Group (Guatemala),,,Guatemala,Chiquimula,Esquipulas,Esquipulas,14.5667,-89.35,1,National,0,GTM
GTM7392,2023-10-04,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala); Xinca Indigenous Group (Guatemala),,,Guatemala,Peten,La Libertad,El Ceibo,17.2587,-90.9829,1,National,0,GTM
GTM7398,2023-10-04,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala); Xinca Indigenous Group (Guatemala),,,Guatemala,Quiche,Chichicastenango,Chupol,14.8579,-91.0563,1,National,0,GTM
GTM7411,2023-10-06,1,Protests,Peaceful protest,Protesters (Guatemala),Indigenous Group (Guatemala); 48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Alta Verapaz,Coban,Cubilguitz,15.6675,-90.4291,1,National,0,GTM
GTM7419,2023-10-06,1,Protests,Peaceful protest,Protesters (Guatemala),Indigenous Group (Guatemala); 48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Chimaltenango,Tecpan Guatemala,Tecpan Guatemala,14.7669,-90.9942,1,National,0,GTM
GTM7422,2023-10-06,1,Protests,Peaceful protest,Protesters (Guatemala),Indigenous Group (Guatemala); 48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Chiquimula,Quezaltepeque,Quezaltepeque,14.6353,-89.4434,1,National,0,GTM
GTM7429,2023-10-06,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Indigenous Group (Guatemala); Maya Indigenous Group (Guatemala),,,Guatemala,Escuintla,Santa Lucia Cotzumalguapa,Santa Lucia Cotzumalguapa,14.3333,-91.0167,1,National,0,GTM
GTM7430,2023-10-06,1,Protests,Peaceful protest,Protesters (Guatemala),Indigenous Group (Guatemala); 48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Izabal,El Estor,El Estor,15.5333,-89.35,1,National,0,GTM
GTM7434,2023-10-06,1,Protests,Peaceful protest,Protesters (Guatemala),Indigenous Group (Guatemala); 48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Peten,La Libertad,El Ceibo,17.2587,-90.9829,1,National,0,GTM
GTM7443,2023-10-06,1,Protests,Peaceful protest,Protesters (Guatemala),Indigenous Group (Guatemala); 48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Quetzaltenango,Zunil,Zunil,14.7838,-91.4854,1,National,0,GTM
GTM7444,2023-10-06,1,Protests,Peaceful protest,Protesters (Guatemala),Indigenous Group (Guatemala); 48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Quiche,Chichicastenango,Chupol,14.8579,-91.0563,1,National,0,GTM
GTM7459,2023-10-06,1,Protests,Peaceful protest,Protesters (Guatemala),Indigenous Group (Guatemala); 48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Solola,Santiago Atitlan,Santiago Atitlan,14.6382,-91.229,2,National,0,GTM
GTM7484,2023-10-07,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Quiche,Chichicastenango,Chupol,14.8579,-91.0563,1,National,0,GTM
GTM7490,2023-10-07,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Alta Verapaz,Coban,Cubilguitz,15.6675,-90.4291,1,National,0,GTM
GTM7502,2023-10-07,1,Protests,Protest with intervention,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),Rioters (Guatemala),,Guatemala,Peten,La Libertad,El Ceibo,17.2587,-90.9829,1,National,0,GTM
GTM7524,2023-10-07,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Chimaltenango,Santa Apolonia,Santa Apolonia,14.7905,-90.9727,1,National,0,GTM
GTM7533,2023-10-07,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Quetzaltenango,Zunil,Zunil,14.7838,-91.4854,1,National,0,GTM
GTM7534,2023-10-08,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Huehuetenango,Aguacatan,Aguacatan,15.3423,-91.3134,1,National,0,GTM
GTM7545,2023-10-08,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Quetzaltenango,San Carlos Sija,Chuatuj,14.9847,-91.6054,1,National,0,GTM
GTM7546,2023-10-08,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Quiche,Chichicastenango,Chupol,14.8579,-91.0563,1,National,0,GTM
GTM7549,2023-10-08,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Suchitepequez,Patulul,Cocales,14.3945,-91.1983,1,National,0,GTM
GTM7554,2023-10-08,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Peten,La Libertad,El Ceibo,17.2587,-90.9829,1,National,0,GTM
GTM7569,2023-10-08,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Huehuetenango,Malacatancito,Malacatancito,15.2451,-91.4984,1,National,0,GTM
GTM7585,2023-10-08,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Chiquimula,Quezaltepeque,Quezaltepeque,14.6353,-89.4434,1,National,0,GTM
GTM7594,2023-10-08,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Chiquimula,San Jacinto,San Jacinto,14.6667,-89.5,1,National,0,GTM
GTM7602,2023-10-08,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Santa Rosa,San Rafael Las Flores,San Rafael Las Flores,14.4768,-90.1805,1,National,0,GTM
GTM7605,2023-10-08,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Chimaltenango,Santa Apolonia,Santa Apolonia,14.7905,-90.9727,1,National,0,GTM
GTM7615,2023-10-08,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Chimaltenango,Tecpan Guatemala,Tecpan Guatemala,14.7669,-90.9942,2,National,0,GTM
GTM7616,2023-10-08,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Chiquimula,Chiquimula,Vado Hondo,14.7307,-89.5051,1,National,0,GTM
GTM7619,2023-10-08,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Quetzaltenango,Zunil,Zunil,14.7838,-91.4854,1,National,0,GTM
GTM7620,2023-10-09,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Huehuetenango,Aguacatan,Aguacatan,15.3423,-91.3134,1,National,0,GTM
GTM7625,2023-10-09,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Jutiapa,Moyuta,Buena Vista,14.0445,-90.099,1,National,0,GTM
GTM7631,2023-10-09,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Quetzaltenango,San Carlos Sija,Chuatuj,14.9847,-91.6054,1,National,0,GTM
GTM7632,2023-10-09,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Quiche,Chichicastenango,Chupol,14.8579,-91.0563,1,National,0,GTM
GTM7636,2023-10-09,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Suchitepequez,Patulul,Cocales,14.3945,-91.1983,1,National,0,GTM
GTM7641,2023-10-09,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Izabal,El Estor,El Estor,15.5333,-89.35,1,National,0,GTM
GTM7646,2023-10-09,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,El Progreso,Guastatoya,Guastatoya,14.8547,-90.0687,3,National,0,GTM
GTM7657,2023-10-09,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Huehuetenango,Malacatancito,Malacatancito,15.2451,-91.4984,1,National,0,GTM
GTM7665,2023-10-09,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Chiquimula,Quezaltepeque,Quezaltepeque,14.6353,-89.4434,1,National,0,GTM
GTM7667,2023-10-09,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Baja Verapaz,Salama,Salama,15.1028,-90.3181,3,National,0,GTM
GTM7672,2023-10-09,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Quetzaltenango,San Carlos Sija,San Carlos Sija,14.9843,-91.5489,1,National,0,GTM
GTM7675,2023-10-09,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Chiquimula,San Jacinto,San Jacinto,14.6667,-89.5,1,National,0,GTM
GTM7696,2023-10-09,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Chiquimula,Chiquimula,Vado Hondo,14.7307,-89.5051,1,National,0,GTM
GTM7751,2023-10-09,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Guatemala),,Civilians (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),Guatemala,Solola,Santiago Atitlan,Santiago Atitlan,14.6382,-91.229,1,National,0,GTM
GTM7754,2023-10-20,1,Protests,Peaceful protest,Protesters (Guatemala),48 Cantones of Totonicapan; Maya Indigenous Group (Guatemala),,,Guatemala,Alta Verapaz,Fray Bartolome de las Casas,Fray Bartolome de las Casas,15.8056,-89.8609,1,National,0,GTM
